日期Date,指数代码 Index Code,指数名称 Index Name,指数英文名称Index Name(Eng),成份券代码Constituent Code,成份券名称Constituent Name,成份券英文名称Constituent Name(Eng),交易所Exchange,交易所英文名称Exchange(Eng)
20260817,932000,中证2000,CSI 2000,001285,瑞立科密,"Guangzhou Ruili Kormee Automotive Electronic Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001288,运机集团,"SICHUAN ZIGONG CONVEYING MACHINE GROUP CO.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001296,长江材料,"Chongqing Changjiang River Moulding Material (Group) Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001298,好上好,"Shenzhen Best of Best Holdings Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001300,三柏硕,"Sportsoul Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001306,夏厦精密,"Zhejiang XiaSha Precision Manufacturing Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001311,多利科技,"Chuzhou Duoli Automotive Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001313,粤海饲料,"Guangdong Yuehai Feeds Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001314,亿道信息,"Emdoor Information Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001316,润贝航科,"LUBAIR AVIATION TECHNOLOGY CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001317,三羊马,"San Yang Ma (Chongqing) Logistics Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001318,阳光乳业,"Jiangxi Sunshine Dairy Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001319,铭科精技,"Winstech Precision Holding Co.,LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001325,元创股份,"Yachoo Technology Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001328,登康口腔,"Dencare (Chongqing) Oral Care Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001332,锡装股份,"Wuxi Chemical Equipment Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001335,信凯科技,"Trust Chem Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001338,永顺泰,GDH SUPERTIME GROUP COMPANY LIMITED,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001356,富岭股份,"Fuling Technology CO., LTD",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001360,南矿集团,"Nanchang Mineral Systems Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001367,海森药业,"Zhejiang Haisen Pharmaceutical Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001376,百通能源,"Jiangxi Bestoo Energy Co.,Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001379,腾达科技,"Shandong Tengda Fasten Tech. Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001380,华纬科技,Hwaway Technology Corporation Limited,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001388,信通电子,"Shandong Senter Electronic Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001390,古麒绒材,Anhui Guqi Down & Feather Textile Incorporated,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001395,亚联机械,"Yalian Machinery Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001396,誉帆科技,Shanghai Refine Environment Sci-tech Ltd.,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,001400,江顺科技,"Giansun Precision Technology Group Co., Ltd.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002009,天奇股份,"Miracle Automation Engineering Co.,Ltd",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002016,世荣兆业,Guangdong Shirongzhaoye Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002021,中捷资源,"ZOJE RESOURCES INVESTMENT CO., LTD.",深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002022,科华生物,Shanghai Kehua Bio-Engineering Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002026,山东威达,Shandong Weida Machinery Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002029,七匹狼,Fujian Septwolves Industry Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
20260817,932000,中证2000,CSI 2000,002033,丽江股份,Lijiang Yulong Tourism Co Ltd,深圳证券交易所,Shenzhen Stock Exchange
